data,task,seed,val/loss,ckpt_path,log_name,val/loss_unweighted,val/recon_MSE,val/recon_MAE,val/recon_PCC,val/label_F1_weighted,val/label_F1_macro,val/label_F1_micro,val/label_AUROC,val/label_Accuracy,val/label_Precision,val/label_Recall,test/recon_MSE,test/recon_MAE,test/recon_PCC,test/label_F1_weighted,test/label_F1_macro,test/label_F1_micro,test/label_AUROC,test/label_Accuracy,test/label_Precision,test/label_Recall,test/loss,test/loss_unweighted,val/recon_RMSE,test/recon_RMSE
sc_multiome,multitask,seed_42,0.30869701504707336,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome/seed_42/multitask/DeepTAN_20250330185410_lp5oO/trial_4/best-model-epoch=0007-val_loss=0.0000.ckpt,DeepTAN_20250330185410_lp5oO,0.1220182552933693,0.17960122227668762,0.3188087046146393,0.7426643371582031,0.14129211008548737,0.10996783524751663,0.23251748085021973,0.47683560848236084,0.23251748085021973,0.10897435992956161,0.23251748085021973,0.17636337876319885,0.31398794054985046,0.7770177721977234,0.29867440462112427,0.23940393328666687,0.3723404109477997,0.6479018330574036,0.3723404109477997,0.27984634041786194,0.3723404109477997,0.2061649113893509,0.11785116046667099,,
sc_multiome_minmi0.35_top2000,focus_label,seed_42,0.026795510202646255,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_42/focus_label/DeepTAN_20250405014429_4gBXD/best-model-epoch=0003-val_loss=0.0000.ckpt,DeepTAN_20250405014429_4gBXD,1.206697940826416,2.3057665824890137,1.1997164487838745,-0.62547367811203,0.2266380488872528,0.1143045425415039,0.24189813435077667,0.7228255271911621,0.24189813435077667,0.2365451157093048,0.24189813435077667,2.2159433364868164,1.173001766204834,-0.6010162830352783,0.1254865527153015,0.06989585608243942,0.1180555522441864,0.6988632678985596,0.1180555522441864,0.15981867909431458,0.1180555522441864,0.022345028817653656,1.1689144372940063,,
sc_multiome_minmi0.35_top2000,focus_label_on_focus_recon,seed_42,0.028750965371727943,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_42/focus_label_on_focus_recon/DeepTAN_20250419160820_rIDrr/best-model-epoch=0000-val_loss=0.0000.ckpt,DeepTAN_20250419160820_rIDrr,0.433561772108078,0.4601917266845703,0.5362526178359985,0.7521581053733826,0.042294975370168686,0.03110857494175434,0.0555555559694767,0.7076472043991089,0.0555555559694767,0.07654252648353577,0.0555555559694767,,,,,,,,,,,,,0.675603449344635,
sc_multiome_minmi0.35_top2000,focus_recon,seed_42,0.1658659726381302,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_42/focus_recon/DeepTAN_20250405143337_g2qQL/best-model-epoch=0023-val_loss=0.0000.ckpt,DeepTAN_20250405143337_g2qQL,0.09876932948827744,0.12710243463516235,0.27148139476776123,0.864633321762085,0.0008169934735633433,0.0017507004085928202,0.0069444444961845875,0.6724754571914673,0.0069444444961845875,0.0004340277810115367,0.0069444444961845875,0.1282462179660797,0.2724650502204895,0.8725129961967468,0.0006127451197244227,0.0014005603734403849,0.0052083334885537624,0.6334284543991089,0.0052083334885537624,0.00032552084303461015,0.0052083334885537624,0.16624665260314941,0.09788720309734344,,
sc_multiome_minmi0.35_top2000,multitask,seed_42,0.23680226504802704,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_multiome_minmi0.35_top2000/seed_42/multitask/DeepTAN_20250414053531_MrU9O/trial_0/best-model-epoch=0019-val_loss=0.0000.ckpt,DeepTAN_20250414053531_MrU9O,0.1352267861366272,0.20546287298202515,0.35417523980140686,0.8343412280082703,0.10711285471916199,0.059000831097364426,0.24768519401550293,0.6453298330307007,0.24768519401550293,0.06978201866149902,0.24768519401550293,0.1336890012025833,0.27941563725471497,0.8674907684326172,0.19865106046199799,0.14932002127170563,0.2378472238779068,0.7064281105995178,0.2378472238779068,0.2548879086971283,0.2378472238779068,0.17370493710041046,0.098551444709301,0.4514881670475006,0.36511245369911194
sc_multiome_minmi0.35_top2000,multitask_noguide,seed_42,0.22517496347427368,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_multiome_minmi0.35_top2000/seed_42/multitask_noguide/DeepTAN_20250406160952_ry4p7/best-model-epoch=0018-val_loss=0.0000.ckpt,DeepTAN_20250406160952_ry4p7,0.11017733067274094,0.15043306350708008,0.28868570923805237,0.8511865735054016,0.004458826035261154,0.006951337680220604,0.02604166604578495,0.5334314107894897,0.02604166604578495,0.0024956597480922937,0.02604166604578495,0.1350022554397583,0.2788454294204712,0.8646926283836365,0.16277575492858887,0.12479942291975021,0.2135416716337204,0.7099597454071045,0.2135416716337204,0.20533140003681183,0.2135416716337204,0.18569733202457428,0.09987568110227585,,
sc_rna_annotated_minmi0.0_top2000,focus_label,seed_42,0.03163106366991997,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_rna_annotated_minmi0.0_top2000/seed_42/focus_label/DeepTAN_20250409215826_0gwUk/best-model-epoch=0000-val_loss=0.0000.ckpt,DeepTAN_20250409215826_0gwUk,0.3599397838115692,0.6116827726364136,0.6421778202056885,-0.008310679346323013,0.1534280925989151,0.11735586822032928,0.1366279125213623,0.6421496868133545,0.1366279125213623,0.4436439275741577,0.1366279125213623,0.6396377682685852,0.649889349937439,-0.016947487369179726,0.14423654973506927,0.11613686382770538,0.12396179139614105,0.6297919750213623,0.12396179139614105,0.44525715708732605,0.12396179139614105,0.018910234794020653,0.3652289807796478,0.7799845933914185,0.7950237393379211
sc_rna_annotated_minmi0.0_top2000,focus_label_on_focus_recon,seed_42,0.01315314695239067,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_rna_annotated_minmi0.0_top2000/seed_42/focus_label_on_focus_recon/DeepTAN_20250419111533_kAwWa/best-model-epoch=0006-val_loss=0.0000.ckpt,DeepTAN_20250419111533_kAwWa,0.6563884019851685,0.3238736391067505,0.4144795536994934,0.2363748699426651,0.8044477701187134,0.6659467220306396,0.7950581312179565,0.8652921319007874,0.7950581312179565,0.8564426302909851,0.7950581312179565,0.5155373811721802,0.556732714176178,0.1213923916220665,0.6425705552101135,0.42325255274772644,0.607765793800354,0.7834314703941345,0.607765793800354,0.7366575598716736,0.607765793800354,0.010367725044488907,0.35562410950660706,0.5582334399223328,0.714202344417572
sc_rna_annotated_minmi0.0_top2000,focus_recon,seed_42,0.4201299846172333,/mnt/hdd2/homext/wuch/xn2p/run/logs/sc_rna_annotated_minmi0.0_top2000/seed_42/focus_recon/DeepTAN_20250409002315_58HqI/best-model-epoch=0049-val_loss=0.0000.ckpt,DeepTAN_20250409002315_58HqI,0.2307058423757553,0.31201550364494324,0.44853702187538147,0.5854631662368774,0.06296288967132568,0.0756949856877327,0.161337211728096,0.6144401431083679,0.161337211728096,0.04014408588409424,0.161337211728096,0.1404506117105484,0.287286639213562,0.7559017539024353,0.06326726078987122,0.08948345482349396,0.16943521797657013,0.46850478649139404,0.16943521797657013,0.03998996317386627,0.16943521797657013,0.24701614677906036,0.137176975607872,0.5568233728408813,0.3736686408519745
sc_rna_annotated_minmi0.0_top2000,multitask,seed_42,0.34804725646972656,/mnt/hdd2/homext/wuch/xn2p/run/logs_hpc/sc_rna_annotated_minmi0.0_top2000/seed_42/multitask/DeepTAN_20250408161134_XJTBS/trial_0/best-model-epoch=0014-val_loss=0.0000.ckpt,DeepTAN_20250408161134_XJTBS,0.20270591974258423,0.231084406375885,0.35778045654296875,0.5855143070220947,0.0,0.0,0.0,0.39827418327331543,0.0,0.0,0.0,0.19633837044239044,0.3271757960319519,0.636631965637207,0.7419195175170898,0.5987454056739807,0.7294435501098633,0.8212576508522034,0.7294435501098633,0.7889758348464966,0.7294435501098633,0.31522244215011597,0.1694543957710266,0.4783236086368561,0.4387589395046234
